name,z,vmag,band,ra_deg,dec_deg,constellation
IRAS 07483+0328,0.099,15.2,V,117.7533,+3.3444,CMi
B3 0754+394,0.096,14.36,V,119.5004,+39.3414,Lyn
IRAS 08045+6301,0.07,14.6,V,122.2192,+62.8772,Cam
PG 0804+761,0.1,14.71,V,122.7437,+76.0453,Cam
RXS J08252+6011,0.12,15.8,V,126.3033,+60.1986,UMa
1WGA J0827.6+0942,0.26,15.5,V,126.9175,+9.7022,Cnc
APM 08279+5255,3.911,15.2,R,127.9233,+52.7550,Lyn
IRAS 08311-2459,0.1,14.7,V,128.3363,-25.1597,Pyx
US 1329,0.254,15.77,V,129.2454,+44.4339,Lyn
PKS 0837-12,0.198,15.76,V,129.9608,-12.2428,Hya
PG 0844+349,0.064,14.5,V,131.9271,+34.7514,Lyn
IRAS F08464+5043,0.2,15.6,V,132.5158,+50.5419,UMa
RXS J08590+4846,0.083,15.31,V,134.7621,+48.7692,UMa
IRAS 09149-6206,0.057,13.55,V,139.0396,-62.3247,Car
NVSS J09253-1019,0.077,14.3,I,141.3496,-10.3317,Hya
PG 0923+201,0.19,15.89,V,141.4779,+19.9011,Leo
PG 0931+437,0.456,15.93,V,143.7608,+43.5197,UMa
IRAS 09415-0137,0.112,14.9,I,146.0412,-1.8542,Sex
PG 0953+415,0.239,15.32,V,149.2179,+41.2564,LMi
3C 232,0.53,15.78,V,149.5871,+32.4006,Leo
SDSS J10018+1441,2.118,15.73,V,150.4554,+14.6897,Leo
PKS 0959-443,0.837,15.1,O,150.5004,-44.6319,Vel
FBS 0959+685,0.773,15.92,V,150.7783,+68.2211,UMa
PG 1004+130,0.24,15.68,V,151.8592,+12.8156,Leo
HE 1007-1405,0.583,15.94,*,152.4262,-14.3417,Hya
HE 1015-1618,0.247,15.78,*,154.5654,-16.5525,Hya
TON   34,1.918,15.69,V,154.9858,+27.7339,Leo
IRAS 10227-8251,0.086,14.9,R,155.3954,-83.1133,Cha
1WGA J1026.4+6746,1.178,15.0,V,156.6417,+67.7700,UMa
RXS J10279-0647,0.116,14.35,V,156.9946,-6.7989,Sex
HE 1029-1401,0.086,13.86,V,157.9767,-14.2811,Hya
CSO   50,0.56,15.64,O,158.0246,+32.6692,LMi
7C 1029+2813,0.085,14.3,V,158.0587,+27.9333,LMi
RXS J10374-1111,0.053,14.42,V,159.3512,-11.1989,Sex
RXS J10384-0806,0.216,15.67,V,159.6167,-8.1036,Sex
HS 1046+8027,0.115,15.03,V,162.6471,+80.1978,Dra
PG 1049-005,0.357,15.78,V,162.9646,-0.8547,Leo
