css,names,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
247,"262427(K7), Perr59(S), S 168",262427,1897-618-1,84365772,9.9,,100.8483,+25.7617,Gem
254,MacCon82,,5949-2636-1,322739963,9.2,S4*2(MacCon82),101.1183,-16.7153,CMa
260,"49368(Ma), MSB, NassSte, S 179",49368,156-1-1,234265351,8.5,S3/2(KB),102.0950,+5.5431,Mon
265,"49683(Mc), Vys 5, Sndlk, S 184",49683,5958-2261-1,299738361,9.1,M4S(K),102.2108,-20.4236,CMa
283,"51610(Pec), R Lyn, S 197",51610,3771-416-1,14339761,7.2,S5/5e(KB),105.3246,+55.3339,Lyn
291,MacCon82,,5971-2419-1,80038109,10.0,S4*2(MacCon82),105.0546,-20.5567,CMa
300,MacCon82,,5971-1203-1,80638439,10.0,S3*3(MacCon82),105.7979,-19.7992,CMa
306,"-3:1731, MacCon79",296266,4822-561-1,177812814,9.6,S4*1(MacCon79),106.5454,-3.8428,Mon
307,"53791(Pec), R Gem, S 206",53791,1896-1929-1,437025062,6.0,S5/5(KB),106.8379,+22.7047,Gem
326,"56567(Md), RR Mon, S 217",56567,,320737433,8.4,M7Se:(K66),109.3833,+1.0944,Mon
332,"-10:1977, MacCon79",,5399-2402-1,318548394,10.0,S3*1(MacCon79),109.7312,-11.2342,CMa
333,MacCon82,,,430423097,9.2,S3*3(MacCon82),109.8908,+4.0442,CMi
335,"57056(Mb), -11:1885, Ste, S 221",57056,5403-453-1,318791268,9.1,MS(Ste),109.8154,-11.4597,CMa
344,"NassSte(S), Ste65(C-S), S 227",,5396-3840-1,187860467,10.0,S4/6(KB),111.2650,-8.2911,Mon
359,"-53:1875, Henun 22, S 239",,8551-1402-1,445260011,10.0,S:(Henun),112.1067,-53.6236,Car
360,"Ste, S 240",,5404-1182-1,6611384,9.9,,112.9042,-11.2714,Pup
365,"-2:2184, MacCon79",,4834-1169-1,178149465,10.0,S4*3(MacCon79),113.6521,-2.3761,Mon
382,"61913(Mb), CSV 1107, S 254",61913,790-1430-1,16276037,5.8,M3S(K),115.5142,+14.2164,Gem
388,"MacCon79, Sndlk(M[S])",,5988-3036-1,140022470,9.9,S3*2(MacCon79),115.5662,-19.8450,Pup
396,"-2:2267, MacCon79",,4835-1838-1,68136621,10.0,S1.5*2(MacCon79),116.2117,-2.7456,Mon
401,"SteTerr(M4e=lpv), Ste(M3,e!)",,4836-1821-1,68421212,9.5,S5*4(MacCon79),117.0025,-2.5947,Mon
403,"63334(Pec), T Gem, Ste, S 261",63334,,62977117,8.0,S4/4e(KB),117.3258,+23.7339,Gem
408,MacCon79,,7118-1025-1,130799950,10.0,S6*1(MacCon79),116.9917,-37.2222,Pup
411,"63733(Rp), Sndlk, S 266",63733,5989-625-1,141599413,8.5,S4/3(KB),117.4408,-19.0058,Pup
416,"-4:2121, Ste(Swk)",64147,4840-242-1,122898856,9.2,S5/2(KB),118.1008,-5.1167,Mon
418,"+18:1769, Ste",64209,1367-2466-1,17814620,9.0,M3[wkS](Ste),118.3692,+17.7808,Gem
422,"64332(Mbp), NQ Pup, S 270",64332,5419-1968-1,36198337,7.6,S5/2(KB),118.2721,-11.6253,Pup
434,"65152(K5), BidMac, S 277",65152,8911-1496-1,382577618,7.3,"S1,1(Henun)",118.4654,-60.5803,Car
439,"-28:5192, MacCon79",,6566-402-1,130090735,10.0,S4*2(MacCon79),119.5708,-28.9756,Pup
447,"-71:435, Henun 35, S 285",,9188-665-1,306573785,10.0,"S1,1(Henun)",119.1108,-71.5383,Vol
448,"-31:5393, Henun 36, S 286",,7120-812-1,418894216,9.0,"S3,1(Henun)",120.3579,-31.7939,Pup
455,"-42:3841, MacCon79",,7667-259-1,79928453,10.0,S3:*4(MacCon79),120.9421,-43.1078,Pup
461,"-65:601, Henun 39, S 290",,8936-741-1,308453049,9.8,"S6,2(Henun)",120.6942,-65.8333,Vol
462,"-82:174, Catchp",,9506-455-1,323512158,9.4,,117.9029,-82.9886,Oct
465,"-50:3157, MacCon82",,8148-280-1,238495592,10.0,S4*3(MacCon82),121.6196,-50.9597,Vel
481,"-11:2295, MacCon82",,5434-1001-1,307390651,10.0,S4*4(MacCon82),124.0425,-11.9567,Pup
