name,hd,tyc,tic,vartype,maxmag,minmag,names,ra_deg,dec_deg,constellation
V747 Cyg,,3581-1132-1,322584727,CV/NL:,11.7,12.5,34.1934,309.3237,+50.3275,Cyg
AE Aqr,,5177-636-1,248138854,DQ,9.8,11.8,342.1931,310.0382,-0.8709,Aqr
HR Del,,1642-998-1,331304972,NB,3.5,12.3,,310.5848,+19.1609,Del
V1330 Cyg,,,194887564,NA,9.0,18.5,,313.1868,+35.9909,Cyg
V450 Cyg,,,236540131,NB,7.8,16.3,85.1942,314.6975,+35.9411,Cyg
V2275 Cyg,,,289786644,NA,6.7,18.4,N Cyg 2001 No. 2,315.7583,+48.7647,Cyg
V1500 Cyg,,,1974886443,NA/AM,2.2,18.0,RX J2111.6+4809,317.9021,+48.1508,Cyg
VY Aqr,,,423564048,UGWZ,8.0,17.5,Ross 88,318.0386,-8.8270,Aqr
EF Peg,,,316083761,UGSU,10.7,18.5,143.1935,318.7667,+14.0639,Peg
VZ Aqr,,,,UG,11.3,17.2,SVS 52,322.6027,-2.9881,Aqr
Q Cyg,,,,NA,3.0,15.6,BD +42 4182a,325.4330,+42.8414,Cyg
V1668 Cyg,,,,NA,6.7,19.8,,325.6467,+44.0319,Cyg
SS Cyg,206697,3196-723-1,190696047,UGSS,8.2,12.1,BD +42 4189a,325.6783,+43.5861,Cyg
LS Peg,,1134-745-1,385080312,DQ:,11.6,13.0,Peg2; S193/NSV 13903,327.9914,+14.1148,Peg
Ind,,,,UG,11.0,17.8,NSV 13983,329.9775,-68.8433,Ind
IV Cep,,,325765580,NA,7.5,17.2,,331.1537,+53.5066,Cep
Cep,,,,N:,7.5,,NSV 25861,333.4398,+57.0207,Cep
RU Peg,,,238272616,UGSS,9.0,13.1,142.1904,333.5107,+12.7032,Peg
CP Lac,,,330615123,NA,2.1,16.1,605.1936,333.9212,+55.6170,Lac
Peg,,,,UGSU,11.8,17.5,HS 2219+1824,335.4366,+18.6690,Peg
