name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
IV Sge,,,10127817,7.2,412.0,M10,287.6932,+19.9525,Sge
KK Sge,,,396191563,6.3,438.0,M7,287.8200,+17.8642,Sge
KN Sge,,,10440636,9.9,215.0,M4,287.9112,+20.2227,Sge
LL Sge,,,353011096,9.2,360.0,M8,288.6101,+19.3359,Sge
LX Sge,,,353523598,9.8,260.0,M5,288.9060,+19.3015,Sge
MN Sge,,,354189306,7.8,415.0,M8,289.1413,+18.3813,Sge
NO Sge,,,354860303,5.3,345.0,M5,289.4981,+20.0237,Sge
OO Sge,,,278977793,9.1,350.0,M8,290.0195,+19.8895,Sge
PV Sge,,,359461342,7.3,435.0,M6,291.5710,+18.2043,Sge
PY Sge,,,368557043,9.8,370.0,M10,291.7750,+19.3262,Sge
V0337 Sge,,,,7.3,,,297.0437,+17.4017,Sge
R Sgr,180275,6304-2023-1,11270390,6.7,269.84,M4e-M6e,289.1742,-19.3077,Sgr
S Sgr,181005,,11890682,9.5,230.64,M3e-M4.5e,289.8580,-19.0235,Sgr
T Sgr,180196,6300-2353-1,130287244,7.1,394.66,"S4.5,8e-S5.5,8e",289.0602,-16.9714,Sgr
Z Sgr,181060,,11884930,8.4,450.41,M4e-M9(Se),289.9301,-20.9263,Sgr
