cgcs,hd,tyc,tic,vmag,bmag,sptype,ra_deg,dec_deg,constellation
3471,,9017-1316-1,448551330,9.0,12.0,N(Ste),211.4267,-67.0153,Cir
3481,124268,8678-678-1,408748947,7.4,9.6,Nb(HD),213.5308,-53.9319,Cen
3484,,8690-2270-1,411156330,9.5,,,214.1621,-58.9789,Cen
3485,,,413285371,9.7,,N(Ste),214.7900,-56.9931,Cen
3489,125651,8285-668-1,332456001,8.3,12.6,Nb(HD),215.5829,-49.8492,Lup
3492,125849,8281-2776-1,242602438,8.5,10.7,"Nb(HD), R(Sto)",215.8654,-47.5225,Lup
3510,128033,7818-129-1,128285413,7.5,10.5,"N(San);C4,3(Yam)",218.9654,-43.3675,Lup
3519,,9007-4262-1,401957234,9.0,13.0,N(Ste),220.3679,-61.7803,Cen
3533,129981,7301-987-1,47887139,8.2,8.7,F4-G0(R)(LE83),221.6375,-32.1708,Cen
3544,,7298-291-1,88784758,9.0,11.1,R(May51),224.2896,-30.1994,Cen
3548,132181,8681-2199-1,313313205,8.0,11.1,"Nb(HD);C5,5(War)",224.9333,-53.4081,Lup
3562,133444,9266-2626-1,403072670,9.0,9.6,R3(HD),227.3525,-72.0625,Aps
3572,,9021-485-1,455128025,9.5,12.0,N(May51),228.4108,-60.3378,Cir
3569,134453,9263-2961-1,262259472,6.0,8.1,"N(San);C5,5(War)",228.5800,-70.0794,TrA
3586,,2031-278-1,357475953,9.7,,R0(Van),229.3842,+29.6028,CrB
3589,,920-203-1,366508518,9.5,,R2(VyssBalz58),229.6342,+9.4683,Ser
3606,137613,6767-469-1,185053139,7.4,9.2,R3(Sh),231.9512,-25.1694,Lib
3594,136543,9429-1290-1,288863013,7.0,11.0,Nb(HD),232.0042,-75.9297,Aps
3611,,9026-5222-1,271452153,8.0,12.0,Np(Cann21),233.0233,-62.5553,TrA
3642,,8705-1563-1,79062904,9.5,11.8,N(Ste),237.7275,-56.9725,Nor
3615,,,290470045,9.0,,,239.1529,-85.7756,Oct
3665,144578,3497-286-1,159970856,7.8,8.8,Nep(San),241.0558,+50.4992,Her
3666,,9036-119-1,298637314,9.8,10.6,R3(Cann21),242.9575,-61.5772,TrA
3679,,,236385618,9.7,12.2,"N(D,Ste)",244.2854,+25.8514,Her
3677,148173,7865-877-1,225430672,7.0,,,244.5296,-43.6606,Nor
3691,147603,8324-2937-1,4471653,9.9,12.5,Nb(HD),246.3575,-51.9269,Nor
3698,148182,5634-769-1,413757508,7.3,,Ne(San),246.6821,-12.4267,Oph
