hip,hd,ra_deg,dec_deg,vmag,sptype
76996,137333,235.81708657,-84.46550807,5.570000171661377,A2V
77163,140775,236.34778279,5.44732255,5.570000171661377,A1V
82925,152849,254.20015918,-23.15032178,5.570000171661377,A0V
102633,198069,311.95136711,6.00824104,5.570000171661377,A0V
107517,207052,326.63366745,-11.36593201,5.570000171661377,A1V
108845,209515,330.73615775,44.64994158,5.570000171661377,A0IV
5164,6530,16.52137513,-9.83936845,5.579999923706055,A1V
10732,14191,34.53144339,19.90116135,5.579999923706055,A1Vn
40944,70442,125.33843502,-20.07901245,5.579999923706055,A3V
100108,193369,304.61927485,36.9997539,5.579999923706055,A2V
31457,47144,98.85093436,-36.77993005,5.590000152587891,A0V
58427,104035,179.69861981,-64.33955671,5.590000152587891,A3Ib
73841,133962,226.35788174,48.15090031,5.590000152587891,A1V
94727,180482,289.12926242,4.83482079,5.590000152587891,A3IV
96178,183806,293.34014279,-45.27168903,5.590000152587891,A0p
5626,6798,18.06878934,79.67397492,5.599999904632568,A3V
6514,8374,20.91898254,37.71499034,5.599999904632568,A1m
17460,23193,56.13082016,36.46020384,5.599999904632568,A2m
66198,118214,203.53052101,55.34844976,5.599999904632568,A0V
95560,182919,291.55518356,20.09782036,5.599999904632568,A0V
97980,188350,298.68655124,0.27365959,5.599999904632568,A0III
100469,193571,305.61449749,-42.04934895,5.599999904632568,A0V
15154,20149,48.83519839,30.55667481,5.610000133514404,A1Vs
23554,32667,75.97189741,-24.38805735,5.610000133514404,A2IV
45920,81157,140.45878607,-55.51487092,5.610000133514404,A3IVs...
52965,93905,162.48769199,-34.05819988,5.610000133514404,A1V
87044,161833,266.78349746,17.69704078,5.610000133514404,A1V
7345,9672,23.65717247,-15.6763527,5.619999885559082,A1V
42795,74228,130.8013968,12.6808708,5.619999885559082,A3V+...
114132,218242,346.72333274,-38.89230672,5.619999885559082,A0V
40834,71066,125.0023296,-71.50546247,5.630000114440918,A0p
42917,74521,131.18768592,10.08171256,5.630000114440918,A1p...
52407,92845,160.68003687,-32.71567314,5.630000114440918,A0V
64003,113852,196.72595485,-35.86182329,5.630000114440918,A0V
77984,142445,238.87542764,-26.26592073,5.630000114440918,A3V
90541,169853,277.11297477,-38.9955695,5.630000114440918,A2m...
100907,195050,306.89281213,38.44052275,5.630000114440918,A3V
107575,207203,326.80815996,2.68613092,5.630000114440918,A1V
3572,4161,11.4129637,74.9881262,5.639999866485596,A2IV
20484,27749,65.8541598,16.77732694,5.639999866485596,A1m
25280,35505,81.11861918,-16.97574213,5.639999866485596,A0V
47701,84107,145.88863057,29.97472479,5.639999866485596,A2IV
83187,153053,255.02619645,-54.59700158,5.639999866485596,A3V
96406,184552,294.00687266,-24.71901737,5.639999866485596,A1m...
96807,185762,295.18047034,-0.6212928,5.639999866485596,A3IV
100591,193807,305.97161225,-42.42290463,5.639999866485596,A3V
28484,41214,90.20499138,-51.21655276,5.650000095367432,A1m...
39213,65900,120.30795569,4.87977849,5.650000095367432,A1V
