bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
CP-63 1012,HEN   185,73834,8930-2461-1,310645192,8.11,"B3 ,ne",129.2194,-63.6273,Car
CP-45 2772,HEN   186,73903,8151-5464-1,141497319,9.0,B1 V,129.7446,-46.2261,Vel
CP-45 2781,,,8151-6257-1,141497194,9.5,B1 V ne,129.7742,-46.2454,Vel
CD-40 4488,ASW   252,,7666-1153-1,180878618,10.9,B6 V,129.8703,-40.4690,Vel
CP-45 2826,MWC   578,,8151-1868-1,141898455,10.16,"B2: V,ne",130.2126,-46.0954,Vel
CP-47 2565,,74401,8155-2404-1,285699059,9.0,B1.5 III ne,130.5011,-47.6648,Vel
CP-41 2917,,74867,7683-2113-1,181506336,9.3,B7 IV/V,131.2582,-41.5161,Vel
CP-76  538,,75485,9399-1182-1,397135218,8.1,Be* sh,130.7386,-77.1172,Cha
CP-56 1865,MWC   195,75311,8577-3017-1,46028220,4.49,"B3 V,ne",131.6772,-56.7696,Car
CP-46 3039,,75465,8155-271-1,270934336,9.04,"B3 V e,n:",132.0863,-46.9103,Vel
CP-53 1914,HEN   213,75661,8569-1820-1,46226875,8.88,"B2 V,ne",132.2245,-54.2726,Vel
CP-47 2765,HEN   211,75658,8156-2261-1,271190727,8.11,B1 IV e,132.3532,-47.4882,Vel
CP-47 2789,HEN   215,,8156-1085-1,145506624,9.0,Be*,132.4745,-48.0601,Vel
CP-46 3116,,,8152-1092-1,29051733,11.4,Be* sh,132.6085,-46.5844,Vel
CD-25 6639,,75740,6580-2291-1,1748132,10.2,Be*,132.7276,-26.3557,Pyx
CP-45 3145,HEN   216,,8152-477-1,29122883,8.97,"B2 V,ne",132.6493,-45.5484,Vel
CP-41 3079,,75925,7684-2068-1,190393155,11.6,Be*,132.8614,-41.8586,Vel
CP-45 3218,,,,29690468,8.9,B0.5 III,133.3410,-46.0356,Vel
CP-42 3114,HEN   225,76534,,30051402,8.04,"B3 V,ne",133.7858,-43.4663,Vel
CP-50 1892,HEN   227,76568,8164-1530-1,400136687,9.3,"B1 V:,nne",133.7405,-50.8638,Vel
CD-29 6963,HEN   228,,7138-1918-1,186979808,8.8,Be*,134.2007,-30.1835,Pyx
CD-42 4808,,76838,7688-1672-1,30562668,7.31,B3 V,134.2817,-43.2561,Vel
CP-59 1194,HEN   233,76985,8594-220-1,383287960,9.1,B5 Vn(e),134.1964,-59.5197,Car
CP-58 1306,HEN   234,77032,8594-620-1,383285551,8.8,B2: V ne,134.3143,-58.5856,Car
CP-63 1072,HEN   235,77147,8931-1408-1,356521959,8.4,B8 V,134.3463,-63.4964,Car
CP-46 3310,HEN   238,,8165-324-1,31071126,8.98,Be*,135.0581,-46.6852,Vel
CD-42 4875,HEN   237,77320,7689-1211-1,31062736,6.07,B2.5 V ne,135.0923,-43.1731,Vel
CP-45 3393,HEN   244,,8165-565-1,447970564,10.09,Be*,136.0267,-45.6757,Vel
CP-58 1376,,78328,8594-1841-1,384471407,9.2,B9.5 III,136.2655,-58.7673,Car
CP-70  861,MWC   196,78764,9199-2885-1,302962039,4.71,"B2 IV,e",136.4097,-70.5385,Car
CP-52 1968,HEN   251,298298,8583-742-1,126899506,9.07,B1 III e,137.1142,-52.5775,Vel
CP-52 2017,HEN   253,79206,8583-4641-1,355553423,7.73,"B3/B4 V:,ne",137.6747,-53.0458,Vel
CD-46 5010,,79621,8170-1150-1,75047606,5.92,B9 V,138.3936,-47.3386,Vel
CP-55 2028,HEN   259,79778,8587-2162-1,385626507,8.21,B2 IV ne,138.4641,-55.5395,Vel
CP-45 3552,HEN   260,79811,8166-459-1,75210369,9.0,B5 V,138.6607,-45.5756,Vel
CP-43 3525,HEN   265,80156,7690-2512-1,75581184,9.0,B8/B9 IV,139.1648,-44.4344,Vel
CP-58 1456,HEN   267,80284,8595-1775-1,386024312,8.7,"B5: V,nne",139.0736,-59.2340,Car
CP-63 1114,HEN   268,80459,8948-414-1,358818468,7.39,"B6 V,ne",139.2317,-63.7749,Car
CP-41 3586,MWC   580,80834,7699-2329-1,76336597,9.72,"B5 ,nne",140.1755,-42.1781,Vel
CP-50 2284,HEN   273,298369,8178-1754-1,295099096,9.98,"B2: V,ne",140.4936,-51.1759,Vel
CP-55 2126,HEN   278,81354,8588-2569-1,436802660,9.32,"B4: V,e",140.7277,-55.7364,Vel
CP-51 2174,ASW   368,298377,8179-3148-1,295581098,10.26,"B3: V,n",140.9826,-51.9615,Vel
CP-58 1513,HEN   280,81654,8596-411-1,437371531,7.93,B2/3 V(e),141.1645,-58.6886,Car
CD-28 7271,,81753,,189271286,6.1,B6 V,141.6868,-28.7871,Pyx
CP-46 3733,HEN   290,82830,8167-1520-1,78595415,9.26,B1 III: ne,143.2870,-46.7650,Vel
CP-57 2126,HEN   292,83032,,439430953,7.9,B7 III,143.3778,-58.3860,Car
CP-56 2319,HEN   294,83060,8593-1904-1,439331111,9.1,B2 IV-V nep,143.4263,-57.1631,Car
CP-53 2571,HEN   293,83043,8585-1672-1,299022962,8.5,"B1 V:,ep",143.4795,-53.6346,Vel
CP-65 1115,HEN   296,83312,8953-1555-1,370494046,7.4,"B4: ,p sh",143.6249,-66.1219,Car
CP-53 2656,HEN   301,83597,8585-2212-1,280835427,9.27,B1.5 V e,144.4619,-53.6799,Vel
BD-22 2684,MWC   197,83953,6602-2080-1,408382023,4.77,"B6 V,e",145.3213,-23.5912,Hya
CP-67 1111,HEN   310,84375,9209-2868-1,370881475,7.0,"B3 III:,p sh",145.4056,-68.5045,Car
CP-57 2254,HEN   309,84361,8593-2269-1,441752709,8.41,B2/B3 V,145.6777,-58.1050,Car
CP-66 1045,HEN   315,309784,8953-200-1,370959697,9.6,Be*,145.6506,-67.1470,Car
CP-54 2642,HEN   317,84511,8589-1020-1,442240473,8.8,"B ,p sh",145.9808,-55.0505,Vel
